"participant","date_post","spk_accent","spk_bilingual","spk_ease","spk_fluency_1","spk_lang_1","spk_percep","spk_region","spk_accent_strength","spk_accent_type","spk_fluency_2","spk_lang_2","spk_sub_region","spk_country","variability","similarity","match_list","order","speaker"
"60d13d406f3b34d6791c8831",2023-07-20 06:03:36,"Yes","Yes",2,5,"Mandarin",3,"Asia",3,"[""acc_social"",""acc_l2"",""acc_ex""]",4,"English","Eastern",NA,"variant","control",1,"order4",5
"5acc2d21436f550001003111",2023-07-20 05:05:43,"Yes","No",3,4,"Bengali",3,"Asia",4,"[""acc_l2""]",NA,NA,"Southern",NA,"invariant","dissimilar",1,"order4",5
"649d257f5e8bfe6ee264e160",2023-07-20 04:24:15,"Yes","No",3,4,"English",4,"Americas",2,"[""acc_us""]",NA,NA,"Northern","United States of America","variant","similar",1,"order4",5
"630adf01fe54101d5214a17f",2023-07-20 05:38:25,"Yes","Yes",2,4,"Spanish",4,"Americas",5,"[""acc_ex"",""acc_l2""]",2,"English","Southern","Argentina","variant","similar",1,"order4",5
"60e8a63f733f423be3da1846",2023-07-20 04:00:01,"Yes","Yes",3,3,"Spanish",3,"Europe",4,"[""acc_l2""]",3,"English","Eastern",NA,"variant","dissimilar",1,"order4",5
"64013d507ab5a4cdc0c1a29a",2023-07-20 04:57:05,"Yes","Yes",2,4,"Hindi",3,"Oceania",4,"[""acc_ex"",""acc_social"",""acc_l2""]",5,"Hindi","Melanesia",NA,"variant","control",2,"order4",5
"6000cefee380e61fa9bc5ae4",2023-07-20 05:14:33,"Yes","Yes",3,4,"Russian",3,"Europe",3,"[""acc_ex"",""acc_l2""]",4,"English","Eastern",NA,"invariant","similar",2,"order4",5
"5b9c2c816f92f30001ecce7a",2023-07-20 05:26:48,"Yes","Yes",3,5,"Spanish",3,"Americas",5,"[""acc_social"",""acc_us""]",3,"English","Central","Mexico","invariant","similar",2,"order4",5
"5d979a7705d4d60017b154c6",2023-07-20 05:05:53,"Yes","Yes",2,3,"Mandarin",3,"Asia",5,"[""acc_ex""]",3,"English","Eastern",NA,"variant","control",2,"order4",5
"6165d57d7256ba57447e76b5",2023-07-20 05:26:35,"Yes","No",3,4,"Standard Arabic",2,"Asia",4,"[""acc_ex"",""acc_l2"",""acc_social""]",NA,NA,"Western",NA,"variant","similar",2,"order4",5
"63ced5ba289fa7af427c3740",2023-07-20 04:32:49,"Yes","Yes",2,4,"Spanish",2,"Americas",4,"[""acc_social"",""acc_ex"",""acc_l2""]",3,"English","Southern","Venezuela","invariant","dissimilar",2,"order4",5
"5d5f0b2e0e71190019c643f7",2023-07-20 05:33:04,"Yes","Yes",4,5,"Hindi",4,"Asia",2,"[""acc_social""]",5,"English","Southeastern",NA,"invariant","similar",1,"order4",5
"62bd2a704c56e669cce7ce56",2023-07-20 05:34:22,"Yes","Yes",3,5,"Mandarin",4,"Asia",4,"[""acc_l2""]",2,"English","Eastern",NA,"variant","similar",1,"order4",5
"62a2adb16716c2e0c8d3c07a",2023-07-20 05:41:31,"Yes","Yes",3,4,"Standard Arabic",4,"Africa",3,"[""acc_ex""]",4,"English","Eastern",NA,"variant","dissimilar",2,"order4",5
"5fd18d125e1f92195b1717bc",2023-07-20 05:46:53,"Yes","Yes",3,4,"French",3,"Europe",5,"[""acc_ex"",""acc_slp""]",3,"English","Western",NA,"variant","control",2,"order4",5
"5e4e844553bc702cdf68404d",2023-07-20 06:32:14,"Yes","Yes",2,4,"Hindi",3,"Americas",2,"[""acc_l2""]",3,"English","Northern","United States of America","variant","control",1,"order4",5
"5f5aa60bef062519ff711fe6",2023-07-20 07:18:58,"Yes","No",3,3,"Mandarin",3,"Asia",3,"[""acc_ex"",""acc_l2""]",NA,NA,"Eastern",NA,"invariant","dissimilar",1,"order4",5
"58cdee8b8460040001e1edb4",2023-07-20 16:34:30,"Yes","Yes",3,5,"Mandarin",3,"Asia",5,"[""acc_ex"",""acc_l2""]",5,"Mandarin","Central",NA,"invariant","similar",1,"order4",5
"5f47fbe03c255115b01b09cf",2023-07-20 05:33:27,"Yes","Yes",2,4,"Portuguese",3,"Europe",4,"[""acc_ex"",""acc_l2""]",3,"English","Western",NA,"variant","control",2,"order4",5
"63d6f2705562fd353b7948dc",2023-07-20 05:42:33,"Yes","Yes",2,5,"Spanish",2,"Asia",5,"[""acc_ex""]",2,"English","Central",NA,"invariant","dissimilar",2,"order4",5
"5a04869ff2e3460001edad2e",2023-07-20 04:39:58,"Yes","Yes",2,5,"Russian",3,"Europe",5,"[""acc_l2""]",3,"English","Eastern",NA,"variant","dissimilar",2,"order4",5
"5f6e36c7f042f033d0f97bc1",2023-07-20 05:42:46,"Yes","Yes",4,3,"None of these",3,"Asia",4,"[""acc_l2"",""acc_ex""]",3,"English","Eastern",NA,"variant","dissimilar",2,"order4",5
